model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.151422532,0.227133797,0.107071899,0.0,0.227133797,3,0.148671693,0.22300754,0.105126762,0.0,0.22300754
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,0.862808037,0.862808037,0.0,0.862808037,0.862808037,3,0.815741768,0.815741768,0.0,0.815741768,0.815741768
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.511089574,0.511089574,0.0,0.511089574,0.511089574,3,0.501804794,0.501804794,0.0,0.501804794,0.501804794
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.70083625,0.774372166,0.279172302,0.328136583,1.0,3,0.662605558,0.732130082,0.263943423,0.310236698,0.945449894
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.420884189,0.377360587,0.268483362,0.115989832,0.769302148,3,0.413238137,0.370505213,0.263605922,0.113882686,0.755326513
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,0.379789122,0.397262157,0.303215012,0.0,0.742105208,3,0.359071585,0.375591464,0.286674601,0.0,0.70162329
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.086810089,0.033296471,0.100150623,0.0,0.227133797,3,0.085233042,0.032691586,0.098331223,0.0,0.22300754
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,0.915568584,0.862808037,0.074614681,0.862808037,1.021089678,3,0.865624221,0.815741768,0.070544442,0.815741768,0.965389128
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.551157623,0.511089574,0.056664778,0.511089574,0.631293721,3,0.541144941,0.501804794,0.05563537,0.501804794,0.619825235
anthropic/claude-sonnet-4.5,T1,C12,p3,0.9,t09,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.476881777,0.328136583,0.210357471,0.328136583,0.774372166,3,0.450867826,0.310236698,0.198882449,0.310236698,0.732130082
