model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
x-ai/grok-4.20,T1,C12,p3,0.9,t09,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.769302148,0.769302148,0.0,0.769302148,0.769302148,5,0.755326513,0.755326513,0.0,0.755326513,0.755326513
x-ai/grok-4.20,T1,C12,p3,0.9,t09,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.021089678,1.021089678,0.0,1.021089678,1.021089678,5,0.965389128,0.965389128,0.0,0.965389128,0.965389128
x-ai/grok-4.20,T1,C12,p3,0.9,t09,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.631293721,0.631293721,0.0,0.631293721,0.631293721,5,0.619825235,0.619825235,0.0,0.619825235,0.619825235
x-ai/grok-4.20,T1,C12,p3,0.9,t09,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.971077708,1.028320834,0.11448625,0.742105208,1.028320834,5,0.918105317,0.972225823,0.108241013,0.70162329,0.972225823
x-ai/grok-4.20,T1,C12,p3,0.9,t09,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.781644741,0.920272477,0.277255472,0.227133797,0.920272477,5,0.767444882,0.903554218,0.272218671,0.22300754,0.903554218
x-ai/grok-4.20,T1,C12,p3,0.9,t09,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.257388374,0.0,0.31523509,0.0,0.643470934,5,0.243347811,0.0,0.298038983,0.0,0.608369526
x-ai/grok-4.20,T1,C12,p3,0.9,t09,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.05898265,0.0,0.072238699,0.0,0.147456626,5,0.057911134,0.0,0.070926364,0.0,0.144777834
x-ai/grok-4.20,T1,C13,p4,0.1,t01,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C13,p4,0.1,t01,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C13,p4,0.1,t01,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.028320834,1.028320834,0.0,1.028320834,1.028320834,5,0.972225823,0.972225823,0.0,0.972225823,0.972225823
x-ai/grok-4.20,T1,C13,p4,0.1,t01,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.920272477,0.920272477,0.0,0.920272477,0.920272477,5,0.903554218,0.903554218,0.0,0.903554218,0.903554218
x-ai/grok-4.20,T1,C13,p4,0.1,t01,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C13,p4,0.1,t01,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C13,p4,0.1,t01,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.389975,0.389975,0.0,0.389975,0.389975,5,0.368701823,0.368701823,0.0,0.368701823,0.368701823
x-ai/grok-4.20,T1,C13,p4,0.1,t01,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.208589563,0.208589563,0.0,0.208589563,0.208589563,5,0.204800192,0.204800192,0.0,0.204800192,0.204800192
x-ai/grok-4.20,T1,C14,p4,0.4,t04,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C14,p4,0.4,t04,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C14,p4,0.4,t04,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.028320834,1.028320834,0.0,1.028320834,1.028320834,5,0.972225823,0.972225823,0.0,0.972225823,0.972225823
x-ai/grok-4.20,T1,C14,p4,0.4,t04,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.920272477,0.920272477,0.0,0.920272477,0.920272477,5,0.903554218,0.903554218,0.0,0.903554218,0.903554218
x-ai/grok-4.20,T1,C14,p4,0.4,t04,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C14,p4,0.4,t04,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C14,p4,0.4,t04,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.389975,0.389975,0.0,0.389975,0.389975,5,0.368701823,0.368701823,0.0,0.368701823,0.368701823
x-ai/grok-4.20,T1,C14,p4,0.4,t04,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.208589563,0.208589563,0.0,0.208589563,0.208589563,5,0.204800192,0.204800192,0.0,0.204800192,0.204800192
x-ai/grok-4.20,T1,C15,p4,0.7,t07,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C15,p4,0.7,t07,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C15,p4,0.7,t07,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.028320834,1.028320834,0.0,1.028320834,1.028320834,5,0.972225823,0.972225823,0.0,0.972225823,0.972225823
x-ai/grok-4.20,T1,C15,p4,0.7,t07,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.920272477,0.920272477,0.0,0.920272477,0.920272477,5,0.903554218,0.903554218,0.0,0.903554218,0.903554218
x-ai/grok-4.20,T1,C15,p4,0.7,t07,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C15,p4,0.7,t07,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C15,p4,0.7,t07,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.877995,1.0,0.24401,0.389975,1.0,5,0.83010028,0.945449894,0.230699229,0.368701823,0.945449894
x-ai/grok-4.20,T1,C15,p4,0.7,t07,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.657159631,0.769302148,0.224285034,0.208589563,0.769302148,5,0.645221249,0.755326513,0.220210529,0.204800192,0.755326513
x-ai/grok-4.20,T1,C16,p4,0.9,t09,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C16,p4,0.9,t09,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C16,p4,0.9,t09,interest,legacy_linear_v1,1.057697511124,5,5,0,5,0.822656667,1.028320834,0.411328333,0.0,1.028320834,5,0.777780659,0.972225823,0.388890329,0.0,0.972225823
x-ai/grok-4.20,T1,C16,p4,0.9,t09,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.736217981,0.920272477,0.368108991,0.0,0.920272477,5,0.722843374,0.903554218,0.361421687,0.0,0.903554218
x-ai/grok-4.20,T1,C16,p4,0.9,t09,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C16,p4,0.9,t09,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C16,p4,0.9,t09,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.31198,0.389975,0.15599,0.0,0.389975,5,0.294961458,0.368701823,0.147480729,0.0,0.368701823
x-ai/grok-4.20,T1,C16,p4,0.9,t09,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.166871651,0.208589563,0.083435825,0.0,0.208589563,5,0.163840153,0.204800192,0.081920077,0.0,0.204800192
x-ai/grok-4.20,T2,C01,p1,0.1,t01,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T2,C01,p1,0.1,t01,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T2,C01,p1,0.1,t01,interest,legacy_linear_v1,1.057697511124,5,5,0,5,0.528771238,0.528771238,0.0,0.528771238,0.528771238,5,0.499926711,0.499926711,0.0,0.499926711,0.499926711
x-ai/grok-4.20,T2,C01,p1,0.1,t01,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.50829568,0.50829568,0.0,0.50829568,0.50829568,5,0.499061656,0.499061656,0.0,0.499061656,0.499061656
x-ai/grok-4.20,T2,C01,p1,0.1,t01,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,1.028320834,1.028320834,0.0,1.028320834,1.028320834,5,0.972225823,0.972225823,0.0,0.972225823,0.972225823
x-ai/grok-4.20,T2,C01,p1,0.1,t01,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.920272477,0.920272477,0.0,0.920272477,0.920272477,5,0.903554218,0.903554218,0.0,0.903554218,0.903554218
x-ai/grok-4.20,T2,C01,p1,0.1,t01,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.360201221,0.360201221,0.0,0.360201221,0.360201221,5,0.340552206,0.340552206,0.0,0.340552206,0.340552206
x-ai/grok-4.20,T2,C01,p1,0.1,t01,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.15837963,0.15837963,0.0,0.15837963,0.15837963,5,0.155502404,0.155502404,0.0,0.155502404,0.155502404
x-ai/grok-4.20,T2,C02,p1,0.4,t04,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T2,C02,p1,0.4,t04,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
